Employee_ID,Job_Satisfaction,Work_Life_Balance,Management_Support,Career_Development,Engagement_Level,Feedback_Comments
E13030,5.0,2.5,4.0,4.3,4.4,Great work environment with strong mentorship.
E13031,5.0,1.7,4.2,3.9,3.9,Strong leadership and clear direction from management.
E13032,3.5,3.3,3.5,4.0,3.8,Great work environment with strong mentorship.
E13033,4.5,3.1,3.4,3.5,3.5,Reasonable work-life balance most of the time.
E13034,4.8,3.3,3.4,4.6,4.4,Management is supportive and career growth is clear.
E13035,4.1,1.9,4.1,3.9,3.5,"Job is fine, but looking to grow further."
E13036,2.8,3.1,3.3,3.7,3.0,Could use more clarity on promotion criteria.
E13037,3.6,2.7,3.3,3.3,3.5,Workload is sometimes heavy but manageable.
E13038,3.5,2.2,2.8,3.0,3.1,Salary is decent but bonuses could be better.
E13039,5.0,2.9,3.9,5.0,4.4,Great work environment with strong mentorship.
E13040,5.0,3.0,3.9,3.1,3.9,Excellent team culture and flexible hours.
E13041,4.3,2.0,3.9,3.4,3.7,Management communication can improve significantly.
E13042,4.5,3.2,2.5,2.7,3.4,"Job is fine, but looking to grow further."
E13043,4.7,2.0,3.9,4.2,3.9,Management is supportive and career growth is clear.
E13044,4.6,2.9,3.6,4.2,3.9,Work-life balance is great and the team is collaborative.
E13045,3.9,2.5,3.2,3.3,3.3,Salary is decent but bonuses could be better.
E13046,4.8,2.9,3.7,4.0,4.0,"Very happy with my role, learning a lot every day."
E13047,3.8,3.3,3.1,3.7,3.6,Reasonable work-life balance most of the time.
E13048,5.0,1.9,3.5,3.6,3.7,Could use more clarity on promotion criteria.
E13049,4.5,2.2,3.3,2.9,3.4,Could use more clarity on promotion criteria.
E13050,5.0,2.5,3.0,4.2,3.8,"Very happy with my role, learning a lot every day."
E13051,5.0,2.5,4.0,4.6,4.3,Management is supportive and career growth is clear.
E13052,4.5,3.0,3.6,2.4,3.4,Reasonable work-life balance most of the time.
E13053,2.8,2.3,3.0,4.1,3.2,Management communication can improve significantly.
E13054,4.0,2.4,2.7,3.9,3.2,Some processes feel outdated but the team is good.
E13055,4.9,2.8,3.5,3.2,4.0,Feel recognised for my contributions regularly.
E13056,2.2,3.4,2.3,3.5,3.0,Some processes feel outdated but the team is good.
E13057,3.6,2.8,3.6,3.4,3.3,Management communication can improve significantly.
E13058,5.0,2.1,4.1,4.8,4.1,Work-life balance is great and the team is collaborative.
E13059,5.0,2.4,3.9,3.6,3.9,Great work environment with strong mentorship.
E13060,4.5,1.9,3.2,3.4,3.2,"Job is fine, but looking to grow further."
E13061,3.8,2.9,3.4,3.5,3.4,Could use more clarity on promotion criteria.
E13062,2.7,3.0,3.5,4.2,3.2,Could use more clarity on promotion criteria.
E13063,4.7,2.8,4.0,4.4,4.2,"Very happy with my role, learning a lot every day."
E13064,4.4,3.2,4.0,4.0,3.9,Excellent team culture and flexible hours.
E13065,3.8,2.6,2.9,2.4,3.0,"Job is fine, but looking to grow further."
E13066,2.8,3.3,1.9,3.2,2.7,Feeling undervalued and underpaid compared to market.
E13067,4.7,3.2,3.5,4.5,4.2,Compensation is competitive and I feel valued.
E13068,2.8,2.2,2.4,3.4,3.0,Salary is decent but bonuses could be better.
E13069,4.5,2.5,3.5,3.8,3.6,Salary is decent but bonuses could be better.
E13070,4.2,4.0,3.1,2.9,3.8,Strong leadership and clear direction from management.
E13071,4.3,3.6,3.5,4.0,3.9,Feel recognised for my contributions regularly.
E13072,4.5,2.1,4.4,3.6,3.7,Workload is sometimes heavy but manageable.
E13073,3.4,2.3,3.2,3.4,3.1,Work is okay but growth opportunities are limited.
E13074,4.4,2.6,4.0,4.1,3.8,Feel recognised for my contributions regularly.
E13075,4.7,3.2,3.7,2.9,3.7,Reasonable work-life balance most of the time.
E13076,3.2,4.0,3.7,3.4,3.6,Could use more clarity on promotion criteria.
E13077,4.3,2.5,4.3,2.5,3.6,Workload is sometimes heavy but manageable.
E13078,4.8,2.5,4.7,3.6,4.2,Work-life balance is great and the team is collaborative.
E13079,4.3,2.6,4.5,3.3,4.1,"Very happy with my role, learning a lot every day."
E13080,3.7,2.3,3.8,3.5,3.1,Salary is decent but bonuses could be better.
E13081,4.8,3.2,4.2,3.3,4.0,Feel recognised for my contributions regularly.
E13082,4.3,3.4,3.9,4.7,4.3,Great work environment with strong mentorship.
E13083,4.6,2.6,3.3,4.7,4.0,Compensation is competitive and I feel valued.
E13084,4.7,4.0,3.5,4.3,4.0,Management is supportive and career growth is clear.
E13085,4.1,3.4,3.6,2.7,3.6,Could use more clarity on promotion criteria.
E13086,4.1,3.4,3.4,3.8,3.7,Management communication can improve significantly.
E13087,3.0,3.6,3.0,3.2,3.3,Management communication can improve significantly.
E13088,3.4,3.1,2.9,4.0,3.2,Workload is sometimes heavy but manageable.
E13089,4.1,3.9,3.5,3.7,3.7,Workload is sometimes heavy but manageable.
E13090,4.4,2.0,3.8,3.2,3.4,Management communication can improve significantly.
E13091,4.0,2.5,3.3,3.6,3.4,Work is okay but growth opportunities are limited.
E13092,3.5,2.6,3.3,2.7,3.1,Reasonable work-life balance most of the time.
E13093,4.5,3.0,3.7,3.7,3.7,Salary is decent but bonuses could be better.
E13094,4.3,3.6,3.2,4.1,3.8,Feel recognised for my contributions regularly.
E13095,5.0,2.9,3.9,4.5,4.1,Excellent team culture and flexible hours.
E13096,4.0,3.3,2.5,3.5,3.4,Management communication can improve significantly.
E13097,3.7,2.2,3.0,1.6,2.5,Actively considering other opportunities outside.
E13098,5.0,2.5,4.5,4.8,4.5,Strong leadership and clear direction from management.
E13099,5.0,1.7,5.0,4.7,4.3,Management is supportive and career growth is clear.
E13100,4.6,3.1,3.8,3.6,3.9,Management is supportive and career growth is clear.
E13101,5.0,2.2,4.1,4.4,4.2,Feel recognised for my contributions regularly.
E13102,4.4,2.7,3.9,3.3,3.9,Feel recognised for my contributions regularly.
E13103,3.6,1.8,3.7,2.8,3.3,Some processes feel outdated but the team is good.
E13104,3.7,2.8,3.4,3.3,3.2,"Job is fine, but looking to grow further."
E13105,3.7,1.8,3.4,2.5,3.2,Could use more clarity on promotion criteria.
E13106,5.0,3.0,3.5,4.1,4.0,Great work environment with strong mentorship.
E13107,3.2,3.0,3.7,3.5,3.5,Reasonable work-life balance most of the time.
E13108,4.1,3.2,4.1,4.3,4.0,Management is supportive and career growth is clear.
E13109,4.0,2.4,3.1,2.7,3.0,Reasonable work-life balance most of the time.
E13110,4.5,3.3,4.1,3.9,3.9,Compensation is competitive and I feel valued.
E13111,4.3,3.1,4.2,3.5,3.8,Compensation is competitive and I feel valued.
E13112,4.1,2.2,3.6,2.6,3.4,Salary is decent but bonuses could be better.
E13113,5.0,3.3,3.4,3.9,4.1,Management is supportive and career growth is clear.
E13114,4.8,2.5,4.0,4.2,4.0,Management is supportive and career growth is clear.
E13115,5.0,2.1,4.7,3.5,4.1,"Very happy with my role, learning a lot every day."
E13116,4.3,3.1,3.9,3.1,3.5,Some processes feel outdated but the team is good.
E13117,4.2,3.2,3.3,3.6,3.7,Reasonable work-life balance most of the time.
E13118,4.9,2.8,3.9,5.0,4.3,"Very happy with my role, learning a lot every day."
E13119,4.0,2.1,3.2,3.1,3.2,Reasonable work-life balance most of the time.
E13120,4.9,3.1,3.6,4.7,4.0,Work-life balance is great and the team is collaborative.
E13121,4.1,2.1,3.0,2.8,3.1,Could use more clarity on promotion criteria.
E13122,4.5,2.3,4.3,3.8,3.9,Great work environment with strong mentorship.
E13123,3.9,3.5,4.0,4.1,3.8,Compensation is competitive and I feel valued.
E13124,4.8,2.8,4.0,3.0,3.8,"Very happy with my role, learning a lot every day."
E13125,5.0,3.2,3.1,3.8,3.9,Feel recognised for my contributions regularly.
E13126,4.2,2.4,3.1,2.6,3.1,Management communication can improve significantly.
E13127,4.6,2.5,4.0,3.4,3.6,Reasonable work-life balance most of the time.
E13128,5.0,2.3,3.6,4.4,3.8,Great work environment with strong mentorship.
E13129,3.4,2.8,2.7,2.9,3.0,Reasonable work-life balance most of the time.
E13130,5.0,2.9,3.9,4.1,4.0,Strong leadership and clear direction from management.
E13131,4.5,2.7,2.9,3.7,3.7,Workload is sometimes heavy but manageable.
E13132,5.0,2.5,4.5,4.5,4.3,Great work environment with strong mentorship.
E13133,3.3,2.9,2.6,2.6,2.7,Leadership is disconnected from ground-level teams.
E13134,4.2,3.2,3.6,3.4,3.8,"Very happy with my role, learning a lot every day."
E13135,3.8,2.8,3.3,4.7,3.8,Strong leadership and clear direction from management.
E13136,2.2,4.3,2.0,3.4,2.9,Work is okay but growth opportunities are limited.
E13137,4.3,2.9,4.2,3.2,4.1,Strong leadership and clear direction from management.
E13138,3.9,2.8,3.4,3.3,3.5,"Job is fine, but looking to grow further."
E13139,4.3,3.3,4.1,3.2,3.6,"Job is fine, but looking to grow further."
E13140,5.0,3.1,4.1,4.1,4.2,"Very happy with my role, learning a lot every day."
E13141,3.6,3.7,3.6,3.7,3.7,Could use more clarity on promotion criteria.
E13142,2.9,3.3,2.2,2.8,2.9,Salary is decent but bonuses could be better.
E13143,4.8,2.1,4.5,3.3,3.5,Workload is sometimes heavy but manageable.
E13144,4.7,3.1,3.6,3.2,3.7,Management communication can improve significantly.
E13145,2.1,2.8,3.0,3.7,2.9,"Job is fine, but looking to grow further."
E13146,3.9,2.1,3.7,2.9,3.5,Could use more clarity on promotion criteria.
E13147,4.0,2.1,4.0,3.0,3.4,Some processes feel outdated but the team is good.
E13148,4.1,3.0,4.1,2.7,3.8,"Very happy with my role, learning a lot every day."
E13149,5.0,3.3,3.0,3.2,3.8,Feel recognised for my contributions regularly.
E13150,4.0,3.0,3.3,3.6,3.5,Salary is decent but bonuses could be better.
E13151,4.0,3.2,3.5,2.9,3.4,Workload is sometimes heavy but manageable.
E13152,3.7,2.4,3.1,3.7,3.4,Could use more clarity on promotion criteria.
E13153,2.8,3.3,2.3,3.9,3.2,Workload is sometimes heavy but manageable.
E13154,3.6,3.2,3.6,4.6,3.8,Feel recognised for my contributions regularly.
E13155,2.4,3.6,2.4,3.6,2.9,Could use more clarity on promotion criteria.
E13156,4.7,2.4,3.8,3.3,3.6,Some processes feel outdated but the team is good.
E13157,4.4,3.0,2.5,2.8,3.2,Work is okay but growth opportunities are limited.
E13158,4.9,2.4,4.0,4.3,4.0,Compensation is competitive and I feel valued.
E13159,5.0,2.7,3.8,3.6,3.8,Management is supportive and career growth is clear.
E13160,4.6,2.2,4.0,3.5,3.8,"Very happy with my role, learning a lot every day."
E13161,4.3,3.6,4.1,3.5,4.0,Feel recognised for my contributions regularly.
E13162,5.0,2.9,3.8,5.0,4.1,Compensation is competitive and I feel valued.
E13163,4.4,2.1,4.0,2.5,3.6,Work is okay but growth opportunities are limited.
E13164,4.4,2.9,4.6,3.0,3.7,Management communication can improve significantly.
E13165,5.0,2.1,4.4,5.0,4.1,Excellent team culture and flexible hours.
E13166,4.1,3.1,4.0,4.5,3.7,Workload is sometimes heavy but manageable.
E13167,3.5,2.7,3.7,3.2,3.3,Work is okay but growth opportunities are limited.
E13168,5.0,3.1,4.3,4.5,4.3,Excellent team culture and flexible hours.
E13169,4.2,3.3,3.6,4.2,4.0,Great work environment with strong mentorship.
E13170,4.8,2.3,3.2,2.3,3.3,Could use more clarity on promotion criteria.
E13171,2.9,3.1,3.1,3.6,3.2,Work is okay but growth opportunities are limited.
E13172,4.1,3.1,2.9,4.0,3.5,Some processes feel outdated but the team is good.
E13173,5.0,3.3,3.7,3.4,3.9,Excellent team culture and flexible hours.
E13174,4.7,2.0,4.5,3.8,3.8,"Very happy with my role, learning a lot every day."
E13175,5.0,2.2,4.0,3.8,3.8,Strong leadership and clear direction from management.
E13176,4.7,1.7,3.6,3.3,3.5,Could use more clarity on promotion criteria.
E13177,4.7,2.9,3.3,3.3,3.6,Reasonable work-life balance most of the time.
E13178,5.0,2.6,4.1,4.7,4.3,Management is supportive and career growth is clear.
E13179,3.0,3.5,2.7,3.8,3.3,Work is okay but growth opportunities are limited.
E13180,4.0,2.6,3.4,3.4,3.3,Workload is sometimes heavy but manageable.
E13181,5.0,2.2,4.7,4.5,4.2,Strong leadership and clear direction from management.
E13182,4.4,2.3,3.6,3.7,3.7,Could use more clarity on promotion criteria.
E13183,4.4,2.7,3.7,3.2,3.5,Could use more clarity on promotion criteria.
E13184,3.2,3.5,2.5,3.2,3.0,Management communication can improve significantly.
E13185,5.0,3.7,3.7,3.4,4.5,Work-life balance is great and the team is collaborative.
E13186,4.0,3.3,3.5,2.8,3.5,Some processes feel outdated but the team is good.
E13187,4.1,2.8,3.5,2.9,3.4,Some processes feel outdated but the team is good.
E13188,3.1,2.5,3.2,3.8,3.4,Management communication can improve significantly.
E13189,5.0,2.7,3.8,4.2,3.9,"Very happy with my role, learning a lot every day."
E13190,4.6,2.4,3.4,2.7,3.3,Salary is decent but bonuses could be better.
E13191,4.5,2.4,3.6,2.5,3.3,"Job is fine, but looking to grow further."
E13192,4.2,2.1,3.4,3.4,3.1,Work is okay but growth opportunities are limited.
E13193,4.2,2.6,3.6,3.5,3.7,Reasonable work-life balance most of the time.
E13194,3.9,2.5,3.4,3.5,3.1,Work is okay but growth opportunities are limited.
E13195,4.7,2.5,3.9,3.5,3.9,Compensation is competitive and I feel valued.
E13196,2.6,3.7,3.2,3.4,3.2,Workload is sometimes heavy but manageable.
E13197,4.7,1.9,3.8,3.1,3.4,Workload is sometimes heavy but manageable.
E13198,4.6,3.0,3.7,4.4,4.2,Excellent team culture and flexible hours.
E13199,5.0,2.2,4.4,4.6,4.2,Excellent team culture and flexible hours.
E13200,5.0,2.7,3.7,3.5,3.9,"Very happy with my role, learning a lot every day."
E13201,4.1,2.6,3.7,2.7,3.2,Reasonable work-life balance most of the time.
E13202,4.4,2.6,4.0,1.9,3.3,Work is okay but growth opportunities are limited.
E13203,5.0,2.9,4.3,3.8,4.2,Great work environment with strong mentorship.
E13204,3.6,2.7,3.4,4.5,3.6,Could use more clarity on promotion criteria.
E13205,3.8,3.1,3.7,2.6,3.4,Management communication can improve significantly.
E13206,4.8,2.4,3.5,3.4,3.6,Management communication can improve significantly.
E13207,4.6,3.3,3.3,3.8,3.7,Work is okay but growth opportunities are limited.
E13208,5.0,2.7,3.1,4.0,3.6,Workload is sometimes heavy but manageable.
E13209,4.0,2.7,4.1,3.0,3.4,"Job is fine, but looking to grow further."
E13210,3.9,3.7,3.3,2.0,3.5,"Job is fine, but looking to grow further."
E13211,4.6,2.0,3.6,3.3,3.4,"Job is fine, but looking to grow further."
E13212,4.1,3.9,3.4,3.9,3.9,Feel recognised for my contributions regularly.
E13213,4.9,1.5,4.3,3.6,3.7,Reasonable work-life balance most of the time.
E13214,5.0,2.7,3.8,4.0,3.9,Strong leadership and clear direction from management.
E13215,4.4,2.3,2.8,3.9,3.3,Could use more clarity on promotion criteria.
E13216,5.0,3.2,3.7,5.0,4.3,"Very happy with my role, learning a lot every day."
E13217,4.6,3.9,4.1,4.7,4.5,Excellent team culture and flexible hours.
E13218,5.0,2.7,3.9,5.0,4.3,Work-life balance is great and the team is collaborative.
E13219,4.7,2.9,3.9,3.3,3.8,"Very happy with my role, learning a lot every day."
E13220,5.0,3.1,3.6,3.6,4.2,Feel recognised for my contributions regularly.
E13221,4.6,3.3,4.0,3.5,3.9,Management is supportive and career growth is clear.
E13222,5.0,3.7,3.7,5.0,4.6,Great work environment with strong mentorship.
E13223,5.0,2.4,4.5,3.5,4.2,Strong leadership and clear direction from management.
E13224,5.0,3.2,3.3,4.1,3.9,"Very happy with my role, learning a lot every day."
E13225,5.0,3.1,2.9,4.9,4.1,"Very happy with my role, learning a lot every day."
E13226,2.3,3.1,2.4,2.5,2.5,No clear career path — very frustrated.
E13227,2.8,2.6,2.5,3.3,2.8,Could use more clarity on promotion criteria.
E13228,5.0,2.9,3.4,2.9,3.7,Salary is decent but bonuses could be better.
E13229,5.0,2.8,3.7,4.9,4.4,Strong leadership and clear direction from management.
E13230,4.0,2.4,3.8,3.1,3.4,"Job is fine, but looking to grow further."
E13231,3.3,2.9,3.8,3.9,3.5,Some processes feel outdated but the team is good.
E13232,4.9,3.2,3.6,3.7,4.0,"Very happy with my role, learning a lot every day."
E13233,4.5,2.2,3.7,3.4,3.3,"Job is fine, but looking to grow further."
E13234,3.4,3.7,2.9,4.4,3.6,"Job is fine, but looking to grow further."
E13235,4.7,2.1,4.5,2.9,3.6,Workload is sometimes heavy but manageable.
E13236,5.0,2.4,3.7,4.1,3.9,Compensation is competitive and I feel valued.
E13237,5.0,3.0,4.4,4.3,4.1,Excellent team culture and flexible hours.
E13238,4.0,2.1,3.0,2.8,2.9,Work is okay but growth opportunities are limited.
E13239,5.0,3.1,4.0,4.4,4.1,Feel recognised for my contributions regularly.
E13240,4.0,3.1,4.4,3.9,4.1,Strong leadership and clear direction from management.
E13241,3.8,3.0,3.7,3.7,3.6,Management communication can improve significantly.
E13242,4.2,3.5,4.1,3.5,3.9,Great work environment with strong mentorship.
E13243,2.7,3.4,3.0,2.7,2.9,Could use more clarity on promotion criteria.
E13244,4.3,3.2,3.8,3.8,3.7,"Job is fine, but looking to grow further."
E13245,4.7,2.6,3.6,3.5,3.6,"Job is fine, but looking to grow further."
E13246,4.7,2.5,3.9,3.7,3.7,Reasonable work-life balance most of the time.
E13247,4.4,3.4,4.3,3.6,4.1,Feel recognised for my contributions regularly.
E13248,4.5,2.7,3.4,2.9,3.5,Reasonable work-life balance most of the time.
E13249,5.0,2.6,3.9,3.3,3.7,Work is okay but growth opportunities are limited.
E13250,4.5,3.5,3.9,3.4,4.0,Excellent team culture and flexible hours.
E13251,2.9,3.3,3.0,3.9,3.1,Some processes feel outdated but the team is good.
E13252,4.7,3.3,3.9,3.2,3.7,Workload is sometimes heavy but manageable.
E13253,5.0,2.3,4.7,4.5,3.9,Work-life balance is great and the team is collaborative.
E13254,3.2,2.8,3.0,4.8,3.3,Some processes feel outdated but the team is good.
E13255,3.5,2.9,2.2,3.7,3.1,"Job is fine, but looking to grow further."
E13256,3.4,3.1,3.6,4.5,3.7,Management communication can improve significantly.
E13257,2.9,3.7,3.1,3.8,3.5,Management communication can improve significantly.
E13258,5.0,2.5,3.9,5.0,4.3,"Very happy with my role, learning a lot every day."
E13259,3.6,3.3,3.1,3.4,3.4,Salary is decent but bonuses could be better.
E13260,3.4,2.3,3.1,2.9,3.0,Could use more clarity on promotion criteria.
E13261,5.0,2.7,3.4,3.6,3.5,Management communication can improve significantly.
E13262,2.6,3.8,3.0,3.4,3.1,"Job is fine, but looking to grow further."
E13263,4.0,2.8,4.2,3.0,3.4,Management communication can improve significantly.
E13264,5.0,2.8,4.0,4.3,4.2,Strong leadership and clear direction from management.
E13265,5.0,3.6,3.7,4.2,4.1,Management is supportive and career growth is clear.
E13266,5.0,2.6,4.0,3.5,3.9,Excellent team culture and flexible hours.
E13267,4.8,3.4,3.5,4.0,4.0,Strong leadership and clear direction from management.
E13268,2.8,3.7,2.7,3.2,3.4,Workload is sometimes heavy but manageable.
E13269,4.0,3.2,4.1,3.4,3.6,"Job is fine, but looking to grow further."
E13270,4.3,2.8,3.4,4.5,3.8,Feel recognised for my contributions regularly.
E13271,4.4,2.5,3.1,3.1,3.2,Some processes feel outdated but the team is good.
E13272,4.9,2.8,4.3,5.0,4.2,Strong leadership and clear direction from management.
E13273,2.2,3.4,2.6,3.5,2.8,"Job is fine, but looking to grow further."
E13274,3.7,3.1,3.5,4.1,3.8,"Very happy with my role, learning a lot every day."
E13275,4.3,2.1,3.8,3.2,3.4,Could use more clarity on promotion criteria.
E13276,4.6,2.4,3.6,3.3,3.4,Salary is decent but bonuses could be better.
E13277,5.0,3.0,3.7,3.7,3.9,Work-life balance is great and the team is collaborative.
E13278,3.8,3.4,3.9,3.7,3.8,Great work environment with strong mentorship.
E13279,4.6,2.1,3.1,2.9,3.3,Salary is decent but bonuses could be better.
E13280,4.3,2.2,3.9,3.5,3.7,Could use more clarity on promotion criteria.
E13281,5.0,2.8,4.6,4.4,4.2,Excellent team culture and flexible hours.
E13282,4.6,2.4,3.3,4.6,4.0,Management is supportive and career growth is clear.
E13283,4.9,2.4,4.4,5.0,4.4,Feel recognised for my contributions regularly.
E13284,5.0,2.4,4.4,4.4,4.2,"Very happy with my role, learning a lot every day."
E13285,4.4,2.9,3.1,3.0,3.3,Reasonable work-life balance most of the time.
E13286,2.6,2.9,2.9,4.0,3.0,Work is okay but growth opportunities are limited.
E13287,3.8,3.8,2.9,3.6,3.3,Management communication can improve significantly.
E13288,4.9,2.5,4.0,4.3,4.2,Compensation is competitive and I feel valued.
E13289,3.7,3.4,3.2,2.6,3.4,Workload is sometimes heavy but manageable.
E13290,4.7,2.1,4.1,4.1,3.6,Some processes feel outdated but the team is good.
E13291,3.8,2.6,4.2,4.6,3.8,Feel recognised for my contributions regularly.
E13292,4.8,2.2,3.8,3.4,3.6,Could use more clarity on promotion criteria.
E13293,4.1,2.6,3.6,3.1,3.5,Management communication can improve significantly.
E13294,3.0,3.4,3.2,3.1,3.2,Some processes feel outdated but the team is good.
E13295,3.9,2.2,3.0,2.6,3.0,Management communication can improve significantly.
E13296,5.0,2.6,4.3,4.6,4.3,Management is supportive and career growth is clear.
E13297,3.5,3.6,2.9,3.9,3.5,Could use more clarity on promotion criteria.
E13298,3.5,3.2,3.9,3.9,3.5,Some processes feel outdated but the team is good.
E13299,2.8,3.8,2.7,3.4,3.2,Management communication can improve significantly.
E13300,3.7,2.5,3.7,3.4,3.4,Some processes feel outdated but the team is good.
E13301,4.0,3.1,4.0,2.9,3.4,Work is okay but growth opportunities are limited.
E13302,2.3,3.4,2.1,2.8,2.5,Feeling undervalued and underpaid compared to market.
E13303,4.0,3.0,3.5,3.8,3.5,Could use more clarity on promotion criteria.
E13304,4.2,3.2,3.3,3.0,3.7,"Job is fine, but looking to grow further."
E13305,4.1,2.4,3.1,3.1,3.3,Workload is sometimes heavy but manageable.
E13306,4.1,2.5,3.9,3.3,3.6,Management communication can improve significantly.
E13307,3.4,3.8,2.7,3.7,3.0,Management communication can improve significantly.
E13308,5.0,3.3,4.6,4.5,4.6,Work-life balance is great and the team is collaborative.
E13309,4.0,2.6,4.1,2.5,3.3,Salary is decent but bonuses could be better.
E13310,2.8,3.3,3.1,3.4,3.0,Management communication can improve significantly.
E13311,4.4,3.6,4.3,4.0,4.2,Feel recognised for my contributions regularly.
E13312,3.6,3.7,2.3,3.7,3.3,Reasonable work-life balance most of the time.
E13313,3.0,3.5,2.3,3.6,2.8,Reasonable work-life balance most of the time.
E13314,5.0,2.0,3.4,3.4,3.3,Reasonable work-life balance most of the time.
E13315,4.5,2.7,4.2,4.0,3.7,Could use more clarity on promotion criteria.
E13316,4.1,3.2,3.3,4.2,3.8,Feel recognised for my contributions regularly.
E13317,4.3,3.1,3.5,3.7,3.4,Work is okay but growth opportunities are limited.
E13318,5.0,2.1,4.7,3.8,4.0,Great work environment with strong mentorship.
E13319,4.3,3.0,3.2,2.5,3.4,Workload is sometimes heavy but manageable.
E13320,5.0,2.7,4.0,4.3,4.2,Strong leadership and clear direction from management.
E13321,4.2,3.0,3.7,2.4,3.6,Work is okay but growth opportunities are limited.
E13322,3.4,2.5,3.0,4.0,3.6,Some processes feel outdated but the team is good.
E13323,5.0,3.0,3.0,3.7,3.9,Excellent team culture and flexible hours.
E13324,4.7,3.0,3.8,3.2,4.1,Great work environment with strong mentorship.
E13325,3.9,2.4,3.9,4.7,3.9,Great work environment with strong mentorship.
E13326,4.5,3.8,3.5,3.3,3.7,Workload is sometimes heavy but manageable.
E13327,5.0,3.0,3.9,4.7,4.5,Excellent team culture and flexible hours.
E13328,3.1,2.6,3.6,4.0,3.4,Some processes feel outdated but the team is good.
E13329,4.8,2.3,4.1,3.8,3.7,"Job is fine, but looking to grow further."
E13330,3.7,2.4,3.2,2.3,3.2,Management communication can improve significantly.
E13331,4.8,3.6,3.2,4.3,4.2,Management is supportive and career growth is clear.
E13332,4.7,2.7,3.7,3.2,4.0,Feel recognised for my contributions regularly.
E13333,5.0,2.2,4.2,4.7,4.4,"Very happy with my role, learning a lot every day."
E13334,4.8,2.6,4.1,4.2,4.0,Compensation is competitive and I feel valued.
E13335,3.5,2.7,3.7,2.9,3.2,Salary is decent but bonuses could be better.
E13336,4.7,2.5,3.7,3.6,3.9,Great work environment with strong mentorship.
E13337,3.1,2.2,3.3,1.9,2.7,Actively considering other opportunities outside.
E13338,5.0,3.1,3.7,3.5,4.0,"Very happy with my role, learning a lot every day."
E13339,5.0,2.8,4.2,4.2,4.0,Work-life balance is great and the team is collaborative.
E13340,4.1,3.6,2.6,3.6,3.5,Some processes feel outdated but the team is good.
E13341,4.6,2.3,3.8,3.5,3.5,Reasonable work-life balance most of the time.
E13342,4.4,3.3,4.2,4.0,4.0,Compensation is competitive and I feel valued.
E13343,4.3,3.4,3.4,3.3,3.7,Some processes feel outdated but the team is good.
E13344,4.7,2.3,3.5,4.1,3.9,Work-life balance is great and the team is collaborative.
E13345,3.3,3.7,3.2,3.3,3.4,Some processes feel outdated but the team is good.
E13346,4.3,2.9,2.2,4.5,3.6,Workload is sometimes heavy but manageable.
E13347,5.0,2.1,3.8,3.8,3.9,Compensation is competitive and I feel valued.
E13348,4.6,2.6,3.7,3.7,3.4,Reasonable work-life balance most of the time.
E13349,3.4,3.0,2.7,3.0,2.8,Work is okay but growth opportunities are limited.
E13350,4.1,2.6,3.7,2.2,3.3,Workload is sometimes heavy but manageable.
E13351,5.0,3.1,3.7,4.8,4.2,Excellent team culture and flexible hours.
E13352,4.1,2.8,2.9,3.4,3.3,Management communication can improve significantly.
E13353,4.7,2.2,4.0,3.3,3.7,Workload is sometimes heavy but manageable.
E13354,5.0,2.9,4.3,3.9,4.2,Great work environment with strong mentorship.
E13355,5.0,2.4,4.7,4.1,4.2,Compensation is competitive and I feel valued.
E13356,5.0,2.3,3.8,3.6,3.6,Salary is decent but bonuses could be better.
E13357,3.7,3.6,3.5,2.6,3.2,Some processes feel outdated but the team is good.
E13358,4.7,2.9,3.9,4.4,4.2,Great work environment with strong mentorship.
E13359,4.8,2.4,3.9,2.6,3.8,Feel recognised for my contributions regularly.
E13360,3.8,3.3,3.6,3.1,3.3,"Job is fine, but looking to grow further."
E13361,4.5,3.2,3.9,3.6,3.7,Work is okay but growth opportunities are limited.
E13362,3.7,2.9,3.2,3.6,3.4,Work is okay but growth opportunities are limited.
E13363,3.9,3.5,3.3,3.7,3.6,Salary is decent but bonuses could be better.
E13364,4.1,2.6,3.8,3.6,3.8,Great work environment with strong mentorship.
E13365,3.6,2.4,3.2,2.9,3.2,Work is okay but growth opportunities are limited.
E13366,3.5,3.9,3.3,3.5,3.5,Salary is decent but bonuses could be better.
E13367,2.1,2.6,2.9,3.2,2.7,Very little recognition for the amount of work done.
E13368,4.7,3.1,3.4,3.0,3.8,Work-life balance is great and the team is collaborative.
E13369,5.0,2.9,4.0,4.3,4.3,Feel recognised for my contributions regularly.
E13370,4.6,3.8,3.9,4.6,4.1,Management is supportive and career growth is clear.
E13371,5.0,2.2,4.7,3.2,4.1,"Very happy with my role, learning a lot every day."
E13372,4.7,3.2,3.4,3.7,4.0,Work-life balance is great and the team is collaborative.
E13373,4.6,2.4,3.3,3.4,3.3,Management communication can improve significantly.
E13374,4.4,3.0,3.2,3.1,3.7,Workload is sometimes heavy but manageable.
E13375,4.8,2.5,3.3,4.4,4.0,Great work environment with strong mentorship.
E13376,5.0,2.3,3.9,3.5,3.6,"Job is fine, but looking to grow further."
E13377,4.0,3.2,3.3,3.3,3.3,Reasonable work-life balance most of the time.
E13378,4.9,3.1,3.9,4.4,4.4,Management is supportive and career growth is clear.
E13379,5.0,2.4,4.5,4.5,4.1,"Very happy with my role, learning a lot every day."
